Roadway.Name,From,To,id,ZIP CODE
GLEN STREET,BLOOMFIELD AVENUE,FAHY AVE,1254,
GLEN STREET,LOIS LANE,SOUTH AVENUE,1255,
GLEN STREET,LOIS LANE,FAHY AVENUE,1256,
GLENWOOD ROAD,EAST 59 STREET,RALPH AVENUE,1257,
GOETHALS BRIDGE APPROACH,WESTERN AVENUE,OLD PLACE GREEK SHORELINE,1258,
GOWANUS EXPRESSWAY,29 STREET,28 STREET,1259,
GOWANUS EXPRESSWAY,72 STREET PEDESTRIAN OVERPASS,73 STREET,1260,
GOWANUS EXPRESSWAY,BAY RIDGE PARKWAY,76 STREET,1261,
GRAHAM AVENUE,B-N POWERS STREET,AINSLIE STREET,1262,
GRAHAM AVENUE,POWERS STREET,AINSLIE STREET,1263,
GRAHAM AVENUE,AINSLIE STREET,DEVOE STREET,1264,
GRAND AVE,CATHERINE ST,OLIVE ST,1265,
GRAND AVE,MAZEAU ST,72 PL,1266,
GRAND AVE,MAZEAU ST,72 PLACE,1267,
GRAND AVENUE,REMSEN PLACE,66 STREET,1268,
GRAND AVENUE,69 LANE,71 STREET,1269,
GRAND AVENUE,HAMILTON PLACE,55 DRIVE,1270,
GRAND CENTRAL PARKWAY,193 STREET,CUNNINGHAM PARK SR,1271,
GRAND CENTRAL PARKWAY,141 STREET,MAIN STREET,1272,
GRAND CENTRAL PARKWAY,62 DRIVE,62 AVENUE,1273,
GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,1274,
GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,1275,
GRAND CENTRAL PARKWAY NB LEFT ROADWAY,UNION TURNPIKE,42 AVENUE,1276,
GRAND CENTRAL PARKWAY RIGHT ROADWAY,UNION TURNPIKE,42 AVENUE,1277,
GRAND CONCOURSE,184 STREET,187 STREET,1278,
GRAND CONCOURSE,153 STREET,EAST 156 STREET,1279,
GRAND CONCOURSE,187 STREET,188 STREET,1280,
GRAND CONCOURSE,187 STREET,184 STREET,1281,
GRAND CONCOURSE,CONCOURSE LINE,CONCOURSE LINE,1282,
GRAND CONCOURSE,EAST 187 STREET,CONNECTOR,1283,
GRAND CONCOURSE,EAST 188TH STREET,EAST 184TH STREET,1284,
GRAND CONCOURSE,EAST 184TH STREET,EAST 187TH STREET,1285,
GRAND CONCOURSE,EAST MT EVE AVENUE,HAWKSTONE STREET,1286,
GRAND CONCOURSE,HAWKSTONE STREET,EAST MT EDEN AVENUE,1287,
GRAND CONCOURSE,HAWKSTONE STREET,MT EDEN PARKWAY,1288,
GRAND CONCOURSE,EAST 153RD STREET,EAST 156TH STREET,1289,
GRAND CONCOURSE MAIN ROAD,HAWKSTONE STREET,MOUNT EDEN AVENUE,1290,
GRAND CONCOURSE SERVICE ROAD,187 STREET,188 STREET,1291,
GRAND CONCOURSE SERVICE ROAD,HAWKSTONE STREET,MOUNT EDEN AVENUE,1292,
GRAND CONCOURSE_MAIN,EAST 172 STREET,EAST MT EDEN AVENUE,1293,
GRAND CONCOURSE_SERV,EAST 172 STREET,EAST MT EDEN AVENUE,1294,
GRAND STREET,BROADWAY,CROSBY STREET,1295,
GRAND STREET,GARDNER AVENUE,GRAND STREET BRIDGE,1296,
GRAND STREET,WATERBURY STREET,CATHERINE STREET,1297,
GRAND STREET,CROSBY STREET,LAFAYETTE STREET,1298,
GRAND STREET,UNION AVENUE,LORIMER STREET,1299,
GREEN AVENUE,ST. NICHOLAS AVENUE,CYPRESS AVENUE,1300,
GREENE AVENUE,IRVING AVENUE,WYCKOFF AVENUE,1301,
GREENE AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,1302,
GREENPOINT AVE,N. HENRY ST,PROVOST ST,1303,
GREENPOINT AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,1304,
GREENWICH ST,JAY ST,HARRISON ST,1305,
GREENWICH STREET,JAY STREET,HARRISON STREET,1306,
GUY R BREWER BOULEVARD,CLAUDE AVENUE,MATHIAS AVENUE,1307,
GUY R BREWER BOULEVARD,MATHIAS AVENUE,CLAUDE AVENUE,1308,
HAMILTON AVENUE,DEAD END,HAMILTON PLACE,1309,
HAMILTON AVENUE,DEAD END,14 STREET,1310,
HARLEM RIVER DRIVE,WEST 147 STREET,MACOMBS PLACE,1311,
HARLEM RIVER DRIVEWAY,DYCKMAN STREET,AMSTERDAM AVENUE,1312,
HARROD AVENUE,EAST 174 STREET,CROSS BRONX EXPRESSWAY,1313,
HARROD AVENUE,CROSS BRONX EXPRESSWAY,EAST 174 STREET,1314,
HARROD AVENUE,DEAD END,DEAD END,1315,
HARROD AVENUE,CROSS BRONX RIVER EXPRESSWAY,EAST 174TH STREET,1316,
HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET,1317,
HENRY HUDSON PARKWAY,DYCKMAN STREET,HENRY HUDSON BRIDGE,1318,
HENRY HUDSON PARKWAY,NETHERLAND AVENUE,JOHNSON AVENUE,1319,
HENRY HUDSON PARKWAY,235 STREET,236 STREET,1320,
HENRY HUDSON PARKWAY,WEST 235 STREET,WEST 236 STREET,1321,
HENRY HUDSON PARKWAY,231 STREET,232 STREET,1322,
HENRY HUDSON PARKWAY,KAPPOCK STREET,227 STREET,1323,
HENRY HUDSON PARKWAY,73 STREET,76 STREET,1324,
HENRY HUDSON PARKWAY,105 STREET,110 STREET,1325,
HENRY HUDSON PARKWAY,120 STREET,122 STREET,1326,
HENRY HUDSON PARKWAY,WEST 145 STREET,HUDSON RIVER GREENWAY,1327,
HENRY HUDSON PARKWAY E,JOHNSON AVENUE,WEST 239 STREET,1328,
HENRY HUDSON PKWY,INDEPENDENCE AVE,W 232ND ST,1329,
HENRY HUDSON PKWY,W 235TH ST,W 236TH ST,1330,
HENRY HUDSON PKWY,FAIRFIELD AVE,W 232ND ST,1331,
HEWLETT STREET,77 ROAD,UNION TURNPIKE,1332,
HEWLETT STREET,DEAD END,UNION TURNPIKE,1333,
HICKS STREET,KANE STREET,DE GRAW STREET,1334,
HILLSIDE AVE,146 ST,QUEENS BLVD LINE,1335,
