Roadway.Name,From,To,id,ZIP CODE
OCEAN PARKWAY,PARKVILLE AVENUE,NEWKIRK AVENUE,1822,
OCEAN PARKWAY,AVENUE S,AVENUET,1823,
OCEAN PARKWAY MAIN ROAD,LAWRENCE AVENUE,PARKVILLE AVENUE,1824,
OCEAN PARKWAY MAIN ROAD,AVENUE S,AVENUE T,1825,
OCEAN PARKWAY SERVICE ROAD,LAWRENCE AVENUE,PARKVILLE AVENUE,1826,
OCEAN PARKWAY SERVICE ROAD,AVENUE S,AVENUE T,1827,
OCEAN TERRACE,TIBER PLACE,DENOBLE LANE,1828,
OCEAN TERRACE,BUTTERWORTH AVENUE,COVERLY AVENUE,1829,
OCEAN TERRACE,WITTEMAN PLACE,MILFORD DRIVE,1830,
OCEAN TERRACE,DEAD END,MILFORD DR,1831,
OGDEN AVENUE,WEST 170 STREET,WEST 171 STREET,1832,
OGDEN AVENUE,WEST 171 STREET,DR MARTIN LUTHER KING JR BOULEVARD,1833,
ORIENTAL BLVD,HASTINGS ST,GIRARD ST,1834,11235
ORIENTAL BOULEVARD,NORFOLK STREET,OXFORD STREET,1835,11235
PARK AVE,58TH ST,59TH ST,1836,10022
PARK AVENUE,TOMPKINS AVENUE,DELMONICO PLACE,1837,11206
PARK AVENUE,EAST 59 STREET,EAST 60 STREET,1838,10022
PARK AVENUE,138 STREET,135 STREET,1839,10451
PARK AVENUE,EAST 99 STREET,EAST 100 STREET,1840,10029
PARK AVENUE,STEUBEN STREET,EMERSON PLACE,1841,11205
PARK AVENUE,GRAND AVENUE,STEUBEN STREET,1842,11205
PARK AVENUE,WASHINGTON AVENUE,HALL STREET,1843,11205
PARK AVENUE,TOMPKINS PARK,DELMONICO PLACE,1844,11206
PARK AVENUE,DEAD END,DEAD END,1845,
PARK AVENUE,EAST 118 STREET,EAST 119 STREET,1846,10035
PARK AVENUE,EAST 120 STREET,EAST 121 STREET,1847,10035
PARK AVENUE,EAST 73 STREET,EAST 74 STREET,1848,10021
PARK AVENUE,DELMONICO PL,TOMPKINS AVENUE,1849,11206
PARK AVENUE,RYERSON STREET,GRAND AVENUE,1850,11205
PARK AVENUE SOUTH,EAST 26 STREET,EAST 27 STREET,1851,10010
PARK AVENUE SOUTH,EAST 26TH STREET,EAST 27TH STREET,1852,10010
PARK AVENUE VIADUCT,EAST 42 STREET,43 STREET,1853,10168
PARK ROW,BROADWAY,BEEKMAN STREET,1854,10007
PARK ROW,BEEKMAN STREET,BROADWAY,1855,10038
PARKSIDE AVENUE,PARK CIRCLE,PARADE PLACE,1856,11218
PARSONS BOULEVARD,84 AVENUE,84 ROAD,1857,11432
PARSONS BOULEVARD,37 AVENUE,38 AVENUE,1858,11354
PARSONS BOULEVARD,NORTHERN BOULEVARD,37 AVENUE,1859,11354
PARSONS BOULEVARD,84 ROAD,84 AVENUE,1860,11432
PARSONS BOULEVARD,NORTHERN BOULEVARD,37TH AVENUE,1861,11354
PAULDING AVENUE,LYDIG AVENUE,NEILL AVENUE,1862,10462
PELHAM BRIDGE,BRUCKNER EXPRESSWAY,CITY ISLAND ROAD,1863,10475
PELHAM BRIDGE RD,EASTCHESTER BAY SHORLINE,SHORE RD,1864,10475
PELHAM PARKWAY,WHITE PLAINS ROAD,BRONXWOOD AVENUE,1865,10462
PELHAM PARKWAY,WHITE PLAINS ROAD,CRUGER AVENUE,1866,10462
PELHAM PARKWAY,BARNES AVENUE,WALLACE AVENUE,1867,10462
PELHAM PARKWAY,DEAD END,DEAD END,1868,
PELHAM PARKWAY,BOSTON ROAD,WHITE PLAINS ROAD,1869,10467
PELHAM PARKWAY NORTH,HOLLAND AVENUE,WALLACE AVENUE,1870,10467
PELHAM PARKWAY NORTH,DEAD END,DEAD END,1871,
PELHAM PARKWAY NORTH,DEAD END,WHITE PLAINS ROAD,1872,
PELHAM PARKWAY SOUTH,WHITE PLAINS ROAD,CRUGER AVENUE,1873,10467
PELHAM PARKWAY SOUTH,WALLACE AVENUE,BARNES AVENUE,1874,10467
PELHAM PARKWAY SOUTH,BOLTON STREET,WHITE PLAINS ROAD,1875,10462
PENNSYLVANIA AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,1876,
PENNYFIELD AVENUE,GIEGERICH PLACE,GLENNON PLACE,1877,
PENNYFIELD AVENUE,MULLEN PLACE,HARDING AVENUE,1878,
PITKIN AVE,95TH ST,96TH ST,1879,
PITMAN AVENUE,MURDOCK AVENUE,HILL AVENUE,1880,
PITMAN AVENUE,WILDER AVENUE,MURDOCK AVENUE,1881,
PITT STREET,DELANCEY STREET,STANTON STREET,1882,
PITT STREET,STANTON STREET,RIVINGTON STREET,1883,
POLY PLACE,7 AVENUE,14 AVENUE,1884,
POLY PLACE,7TH AVENUE,CROPSEY AVENUE,1885,
POST AVENUE,GREENLEAF AVENUE,DRIPROCK STREET,1886,
POST AVENUE,CLOVER ROAD,GREENLEAF AVENUE,1887,
PROSPECT AVENUE,EAST 152 STREET,AVENUE ST JOHN,1888,
PROSPECT AVENUE,JENNINGS STREET,EAST 170 STREET,1889,
PROSPECT AVENUE,EAST 152 STREET,AVENUE ST. JOHN,1890,
PROSPECT AVENUE,SOUTHERN BOULEVARD,EAST 149 STREET,1891,
PROSPECT AVENUE,JENNINGS STREET,EAST 170TH STREET,1892,
PROSPECT EXPRESSWAY,CATON AVENUE,ALBEMARLE ROAD,1893,
PROSPECT PARK WEST,2 STREET,3 STREET,1894,
PROSPECT PARK WEST,MONTGOMERY PLACE,GARFIELD PLACE,1895,
PROSPECT PARK WEST,2ND STREET,3RD STREET,1896,
PROVOST AVENUE,EAST 233 STREET,WESTCHESTER,1897,
PROVOST AVENUE,EAST 233 STREET,KINGSBRIDGE ROAD,1898,
PROVOST AVENUE,EAST 233RD STREET,EAST KINGSBRIDGE ROAD,1899,
PULASKI BRIDGE,CLAY STREET,BOX STREET,1900,
PULASKI BRIDGE,CLAY STREET,PAIDGE AVENUE,1901,
PUTNAM AVE,CLAVER PL,FRANKLIN AVE,1902,
PUTNAM AVENUE,CLAVER PLACE,FRANKLIN AVENUE,1903,
QUEENS BLVD,59TH ST,59TH PL,1904,
QUEENS BLVD,59TH PL,60TH PL,1905,
QUEENS BLVD,57TH AVE,WOODHAVEN BLVD,1906,
QUEENS BLVD,62ND AVE,ELIOT AVE,1907,
QUEENS BLVD,JACKSON AVE,SKILLMAN AVE,1908,
QUEENS BOULEVARD,AMTRAK RAILROAD,LONG ISLAND RAILROAD,1909,
QUEENS BOULEVARD,LONG ISLAND EXPRESSWAY,62 AVENUE,1910,
QUEENS BOULEVARD,UNION TURNPIKE,80 ROAD,1911,
QUEENS BOULEVARD,82 AVENUE,80 ROAD,1912,
QUEENS BOULEVARD,SKILLMAN AVENUE,JACKSON AVENUE,1913,
QUEENS BOULEVARD,78 AVENUE,DEAD END,1914,
QUEENS BOULEVARD,78 AVENUE,78 CRESCENT,1915,
QUEENS BOULEVARD,57TH AVE,WOODHAVEN BOULEVARD,1916,
QUEENS BOULEVARD,UNION TURNPIKE,78TH AVENUE,1917,
QUEENS BOULEVARD,UNION TURNPIKE,80TH RD,1918,
QUEENS BOULEVARD SR,LONG ISLAND EXPRESSWAY,62 AVENUE,1919,
QUINCY ST,CLASSON AVE,FRANKLIN AVE,1920,
QUINCY ST,TOMPKINS AVE,THROOP AVE,1921,
QUINCY STREET,CLASSON AVENUE,FRANKLIN AVENUE,1922,
QUINCY STREET,TOMPKINS AVENUE,THROOP AVENUE,1923,
RALPH AVE,MACON ST,MAC DONOUGH ST,1924,
RALPH AVENUE,SUMPTER STREET,MAC DOUGAL STREET,1925,
RALPH AVENUE,MAC DOUGAL STREET,SUMPTER STREET,1926,
RALPH AVENUE,MAC DONOUGH STREET,DECATUR STREET,1927,
RALPH AVENUE,MCDONOUGH STREET,DECATUR STREET,1928,
RALPH AVENUE,AVENUE K,AVENUE L,1929,
RALPH AVENUE,GLENWOOD ROAD,FLATLANDS AVENUE,1930,
RANDALL AVENUE,BALCOM AVENUE,EAST 177 STREET,1931,
RANDALL AVENUE,BALCOM AVENUE,177 STREET,1932,
RANDALL AVENUE,CROSS BRONX EXPRESSWAY NB SR,MIDPOINT OF UNDERPASS,1933,
RANDALL AVENUE,CROSS BRONX EXPRESSWAY,BALCOM AVENUE,1934,
RANDALL AVENUE,DEAD END,CROSS BRONX EXPRESSWAY,1935,
RANDALL AVENUE,EAST 177TH STREET,CROSS BRONX EXPRESSWAY,1936,
REMSEN AVE,LENOX RD,LENOX RD,1937,
REMSEN AVENUE,AVENUE L,AVENUE M,1938,
REMSEN AVENUE,LENOX ROAD,EAST 58 STREET,1939,
REMSEN AVENUE,LENOX ROAD,LENOX ROAD,1940,
REMSEN AVENUE,STILLWELLS PLACE,AVENUE L,1941,
REMSEN AVENUE,STILLWELL PL,AVENUE L,1942,
REMSEN AVENUE,FLATLANDS AVENUE,AVENUE J,1943,
RENWICK AVENUE,STATEN ISLAND EXPRESSWAY,LITTLE CLOVE ROAD,1944,
RICHMOND,HILLMAN AVENUE,AKRON STREET,1945,
RICHMOND AVE,YUKON AVE,DEAD END,1946,
RICHMOND AVE,YUKON AVE,YUKON AVE,1947,
RICHMOND AVENUE,AKRON STREET,JARDINE AVENUE,1948,
RICHMOND AVENUE,HILLMAN AVENUE,AKRON STREET,1949,
RICHMOND AVENUE,YUKON AVENUE,INDEPENDENCE AVENUE,1950,
RICHMOND AVENUE,YUKON AVENUE,YUKON AVENUE,1951,
RICHMOND AVENUE,FOREST HILL ROAD,FRESH KILLS BRIDGE,1952,
RICHMOND AVENUE,FOREST HILL ROAD,FOREST HILL BRIDGE,1953,
RICHMOND HILL ROAD,EDINBORO ROAD,FOREST HILL ROAD,1954,
RICHMOND HILL ROAD,FOREST HILL ROAD,EDINBORO  ROAD,1955,
RICHMOND HILL ROAD,FOREST HILL ROAD,EDINBORO ROAD,1956,
RICHMOND RD,BALTIC AVE,ROOSEVELT ST,1957,
RICHMOND RD,CLOVE RD,DEAD END,1958,
RICHMOND ROAD,NADINE STREET,BISHOP STREET,1959,
RICHMOND ROAD,BALTIC AVENUE,CLOVE ROAD,1960,
RICHMOND ROAD,MORLEY AVENUE,ROCKLAND AVENUE,1961,
RICHMOND ROAD,ROCKLAND AVENUE,MORLEY AVENUE,1962,
RICHMOND ROAD,BISHOP STREET,NADINE STREET,1963,
RICHMOND ROAD,RALPH PLACE,SPRING STREET,1964,
RICHMOND ROAD,CLOVE ROAD,BALTIC AVENUE,1965,
RICHMOND TER,HOUSEMAN AVE,WRIGHT AVE,1966,
RICHMOND TER,CLOVE RD,RECTOR ST,1967,
RICHMOND TERRACE,RECTOR STREET,JEWETT AVENUE,1968,
RICHMOND TERRACE,WRIGHT AVENUE,EMERIC COURT,1969,
RICHMOND TERRACE,YUKON AVENUE,INDEPENDENCE AVENUE,1970,
RICHMOND TERRACE,CLOVE ROAD,RECTOR STREET,1971,
RICHMOND TERRACE,CLOVER ROAD,RECTOR STREET,1972,
RIVER AVENUE,EAST 150 STREET,EAST 151 STREET,1973,
RIVER AVENUE,EAST 151 STREET,EAST 150 STREET,1974,
RIVER AVENUE,EAST 150TH STREET,EAST 151ST STREET,1975,
RIVERDALE AVENUE,WEST 260 STREET,WEST 261 STREET,1976,
RIVERDALE AVENUE,WEST 238 STREET,WEST 239 STREET,1977,
RIVERDALE AVENUE,WEST 239 STREET,WEST 238 STREET,1978,
RIVERDALE AVENUE,WEST 238TH STREET,WEST 239TH STREET,1979,
RIVERSIDE DRIVE,103 STREET,102 STREET,1980,
RIVERSIDE DRIVE,163 STREET,WEST 165 STREET,1981,
RIVERSIDE DRIVE,WEST 165 STREET,163 STREET,1982,
RIVERSIDE DRIVE,WEST 116 STREET,119 STREET,1983,
RIVERSIDE DRIVE,WEST 146 STREET,WEST 147 STREET,1984,
RIVERSIDE DRIVE,WEST 147 STREET,WEST 146 STREET,1985,
RIVERSIDE DRIVE,WEST 73 STREET,WEST 74 STREET,1986,
RIVERSIDE DRIVE,WEST 114 STREET,WEST 113 STREET,1987,
RIVERSIDE DRIVE,WEST 100 STREET,102 STREET,1988,
RIVERSIDE DRIVE,WEST 113 STREET,WEST 114 STREET,1989,
RIVERSIDE DRIVE,WEST 100TH STREET,WEST 101ST STREET,1990,
RIVERSIDE DRIVE,WEST 73RD STREET,WEST 74TH STREET,1991,
ROCKAWAY AVE,MARION ST,SUMPTER ST,1992,
ROCKAWAY AVENUE,HEGEMAN AVENUE,LINDEN BOULEVARD,1993,
ROCKAWAY AVENUE,MARION STREET,SUMPTER STREET,1994,
ROCKAWAY AVENUE,MAC DOUGAL STREET,SUMPTER STREET,1995,
ROCKAWAY BLVD,OLD ROCKAWAY BLVD,RADAR RD,1996,
ROCKAWAY BOULEVARD,144 STREET,145 STREET,1997,
ROCKAWAY BOULEVARD,148 AVENUE,175 STREET,1998,
ROCKAWAY BOULEVARD,BROOKVILLE BOULEVARD,BROOKVILLE BOULEVARD,1999,
ROCKAWAY BOULEVARD,84 STREET,97 AVENUE,2000,
ROCKAWAY BOULEVARD,100 STREET,101 STREET,2001,
ROCKAWAY BOULEVARD,150 ROAD,NORTH BOUNDARY ROAD,2002,
ROCKAWAY BOULEVARD,NORTH BOUNDARY ROAD,150 ROAD,2003,
ROCKAWAY BOULEVARD,CULLODEN PLACE,84 STREET,2004,
ROCKAWAY BOULEVARD,97 AVENUE,84 STREET,2005,
ROCKAWAY BOULEVARD,101 STREET,101 STREET,2006,
ROCKAWAY BOULEVARD,DEAD END,DEAD END,2007,
ROCKAWAY BOULEVARD,BROOKEVILLE BOULEVARD,DEAD END,2008,
ROCKAWAY BOULEVARD,143 STREET,144 STREET,2009,
ROCKAWAY PARKWAY,CHURCH AVENUE,AVENUE A,2010,
ROCKAWAY PARKWAY,AVENUE A,CHURCH AVENUE,2011,
ROCKAWAY PARKWAY,AVENUE J,AVENUE K,2012,
ROCKLAND AVENUE,BRIELLE AVENUE,MANOR ROAD,2013,
ROCKLAND AVENUE,MANOR ROAD,BRIELLE AVENUE,2014,
ROCKLAND AVENUE,DEAD END,BRIELLE AVENUE,2015,
RODNEY STREET,AINSLIE STREET,MEEKER AVENUE,2016,
ROGERS AVE,LENOX RD,LINDEN BLVD,2017,
ROGERS AVE,CLARKSON AVE,LENOX RD,2018,
ROGERS AVE,LINCOLN PL,ST JOHN'S PL,2019,
ROGERS AVENUE,LENOX ROAD,LINDEN BOULEVARD,2020,
ROGERS AVENUE,ST MARKS AVENUE,PROSPECT PLACE,2021,
ROOSEVELT AVE,147 STREET,149 STREET,2022,
ROOSEVELT AVENUE,56 STREET,57 STREET,2023,
ROOSEVELT AVENUE,92 STREET,ASKE STREET,2024,
ROOSEVELT AVENUE,JANET PLACE,VAN WYCK EXPRESSWAY,2025,
ROOSEVELT AVENUE,93 STREET,WHITNEY AVENUE,2026,
ROOSEVELT AVENUE,57 STREET,58 STREET,2027,
ROOSEVELT AVENUE,147 STREET,149 STREET,2028,
ROOSEVELT AVENUE,147TH STREET,149TH STREET,2029,
ROSEDALE AVE,CROSS BRONX EXPY,CROSS BRONX EXPY,2030,
ROSEDALE AVENUE,EAST 174 STREET,CROSS BRONX EXPRESSWAY,2031,
ROSEDALE AVENUE,CROSS BRONX EXPRESSWAY SB SR,BRIDGE MIDPOINT (ABOVE CROSS BRONX EXPRESSWAY),2032,
ROSEDALE AVENUE,CROSS BRONX EXPRESSWAY MAIN ROAD,CROSS BRONX EXPRESSWAY SERVICE ROAD,2033,
SANFORD AVE,147 STREET,149 STREET,2034,
SANFORD AVENUE,147 STREET,149 STREET,2035,
SANFORD AVENUE,147TH STREET,149TH STREET,2036,
SCHENCK AVENUE,MC CLANCY PLACE,HEGEMAN AVENUE,2037,
SEAGIRT BLVD,BEACH 7TH ST,BEACH 9TH ST,2038,
SEAGIRT BOULEVARD,BEACH 7 STREET,BEACH 9 STREET,2039,
SEAGIRT BOULEVARD,BEACH 6TH STREET,BEACH 9TH STREET,2040,
SEAGRIT BLVD,BEACH 7TH ST,BEACH 9TH ST,2041,
SEAVIEW AVENUE,EAST 101 STREET,EAST 102 STREET,2042,
SEAVIEW AVENUE,EAST 102 STREET,EAST 103 STREET,2043,
SEDGWICK AVENUE,WEST FORDHAM ROAD,WEST 183 STREET,2044,
SEDGWICK AVENUE,WEST 183 STREET,WEST FORDHAM ROAD,2045,
SEDGWICK AVENUE,WEST 167 STREET,CROSS BRONX EXPRESSWAY,2046,
SEDGWICK AVENUE,WEST 183 STREET,FORDHAM ROAD,2047,
SEDGWICK AVENUE,WEST 183RD STREET,WEST FORDHAM ROAD,2048,
SHERIDAN AVENUE,EAST 156 STREET,EAST 161 STREET,2049,
SHERIDAN EXPRESSWAY,EAST 173 STREET,EAST 174 STREET,2050,
SHERIDANA AVENUE,EAST 161 STREET,EAST 162 STREET,2051,
SHORE BLVD,FALMOUTH ST,GIRARD ST,2052,
SHORE BOULEVARD,IRWIN STREET,HASTINGS STREET,2053,
SHORE BOULEVARD,COLERIDGE STREET,DOVER STREET,2054,
SHORE PARKWAY,EAST 14 STREET,EAST 13 STREET,2055,
SHORE PARKWAY,25 AVENUE,BAY 41 STREET,2056,
SHORE PKWY,19 AVE,20 AVE,2057,
SHORE PKWY,BAY 46TH ST,27TH AVE,2058,
SHORE PKWY NORTH,BAY 40 ST,25 AVE,2059,
SHORE PKWY NORTH,E 16 ST,SHEEPSHEAD BAY RD,2060,
SHORE PKWY SOUTH,E 16 ST,BAY COURT,2061,
SHORE RD,68 ST,BAY RIDGE AVE,2062,
SHORE ROAD,ORCHARD BEACH ROAD,ROOSEVELT AVENUE,2063,
SMITH ST,DOUGLASS,DEGRAW ST,2064,
SMITH STREET,DOUGLASS STREET,DE GRAW STREET,2065,
SMITH STREET,LORRAINE STREET,GOWANUS EXPRESSWAY,2066,
SMITH STREET,CULVER / 6 AVENUE LINE,CULVER / 6 AVENUE LINE,2067,
SNYDER AVE,E 37 ST,E 38 ST,2068,
SNYDER AVENUE,EAST 37 STREET,EAST 38 STREET,2069,
SO CONDUIT AVE,182ND ST,181ST ST,2070,
SOUTH AVENUE,GLEN STREET,HUGHS AVENUE,2071,
SOUTH AVENUE,GLEN STREET,LOIS LANE,2072,
SOUTH AVENUE,LOIS LANE,FAHY AVENUE,2073,
SOUTH CONDUIT AVE,COHANCY ST,NASSAU EXPY,2074,
SOUTH CONDUIT AVENUE,150 STREET,VAN WYCK EXPRESSWAY,2075,
SOUTH CONDUIT AVENUE,HEMLOCK AVENUE,AUTUMN AVENUE,2076,
SOUTH CONDUIT AVENUE,GRANT AVENUE,BELMONT AVENUE,2077,
SOUTH CONDUIT AVENUE,BELMONT AVENUE,ELDERT LANE,2078,
SOUTH CONDUIT AVENUE,HOOK CREEK BOULEVARD,DEAD END,2079,
SOUTH CONDUIT AVENUE,HEMLOCK STREET,AUTUMN AVENUE,2080,
SOUTH STREET,PIKE SLIP,RUTGERS SLIP,2081,
SOUTHERN BLVD,JENNINGS ST,E 172ND ST,2082,
SOUTHERN BOULEVARD,CROTONA PARK EAST,EAST 175 STREET,2083,
SOUTHERN BOULEVARD,JENNINGS STREET,EAST 172 STREET,2084,
SOUTHERN BOULEVARD,EAST 149 STREET,AVENUE ST JOHN,2085,
SOUTHERN BOULEVARD,ALDUS STREET,EAST 163 STREET,2086,
SOUTHERN BOULEVARD,CROTONA PARKWAY,EAST FORDHAM ROAD,2087,
SOUTHERN BOULEVARD,EAST FORDHAM ROAD,EAST FORDHAM ROAD,2088,
SOUTHERN BOULEVARD,MOSHOLU PARKWAY,BRONX RIVER PARKWAY,2089,
SOUTHERN BOULEVARD,163 STREET,ALDUS STREET,2090,
SOUTHERN BOULEVARD,EAST 163 STREET,ALDUS STREET,2091,
SOUTHERN BOULEVARD,DEAD END,EAST FORDHAM ROAD,2092,
SOUTHERN BOULEVARD,EAST FORDHAM ROAD,DEAD END,2093,
SOUTHERN BOULEVARD,MOSHOLO PARKWAY,BRONX RIVER PARKWAY,2094,
SOUTHERN BOULEVARD,CROTONA PARK EAST,EAST 175TH STREET,2095,
SOUTHERN BOULEVARD,EAST 163RD STREET,ALDUS STREET,2096,
SOUTHERN BOULEVARD,BRONX PARK ROAD,EAST FORDHAM ROAD,2097,
SPRING STREET,BROADWAY,CROSBY STREET,2098,
SPRING STREET,CROSBY STREET,BROADWAY,2099,
SPRINGFIELD BLVD,115 ROAD,116 AVE,2100,
SPRINGFIELD BLVD,89 AVE,90 AVE,2101,
SPRINGFIELD BLVD,89 AVE,90  AVE,2102,
SPRINGFIELD BLVD,115 RD,116 AVE,2103,
SPRINGFIELD BOULEVARD,115 ROAD,116 AVENUE,2104,
SPRINGFIELD BOULEVARD,64 AVENUE,67 AVENUE,2105,
SPRINGFIELD BOULEVARD,89 AVENUE,90 AVENUE,2106,
SPRINGFIELD BOULEVARD,219 STREET,46 AVENUE,2107,
SPRINGFIELD BOULEVARD,46 AVENUE,NORTHERN BOULEVARD,2108,
SPRINGFIELD BOULEVARD,64 AVE,67 AVE,2109,
ST ANNS AVENUE,EAST 156 STREET,EAST 157 STREET,2110,
ST ANNS AVENUE,RAE STREET,EAST 156 STREET,2111,
ST ANNS AVENUE,DEAD END,EAST 156 STREET,2112,
ST JAMES PLACE,MADISON STREET,JAMES STREET,2113,
ST MARY'S STREET,BEEKMAN AVENUE,CYPRESS AVENUE,2114,
ST MARYS STREET,BEEKMAN AVENUE,CYPRESS AVENUE,2115,
ST NICHOLAS AVE,BROADWAY/ 7 AVE LINE,BROADWAY/ 7 AVE LINE,2116,
ST NICHOLAS AVE,BROADWAY / 7 AVE LINE,BROADWAY / 7 AVE LINE,2117,
ST NICHOLAS AVE,W 146TH ST,W 147TH ST,2118,
ST NICHOLAS AVENUE,176 STREET,177 STREET,2119,
ST NICHOLAS AVENUE,WEST 122ND STREET,WEST 123RD STREET,2120,
ST NICHOLAS AVENUE,WEST 176TH STREET,WEST 175TH STREET,2121,
ST NICHOLAS PLACE,150 STREET,151 STREET,2122,
ST NICHOLAS PLACE,150 STREET,149 STREET,2123,
ST. ANNS AVE,E 156TH ST,E 157TH ST,2124,
ST. ANNS AVENUE,EAST 156 STREET,RAE STREET,2125,
ST. ANNS AVENUE,RAE STREET,EAST 156 STREET,2126,
ST. JAMES PLACE,MADISON STREET,JAMES STREET,2127,
ST. MARYS STREET,BEEKMAN AVENUE,CYPRESS AVENUE,2128,
ST. NICHOLAS AVENUE,WEST 147 STREET,WEST 146 STREET,2129,
ST. NICHOLAS AVENUE,WEST 146 STREET,WEST 147 STREET,2130,
ST. NICHOLAS AVENUE,WEST 175 STREET,WEST 176 STREET,2131,
ST. NICHOLAS AVENUE,123 STREET,122 STREET,2132,
STANLEY AVENUE,WILLIAMS AVENUE,ANNA COURT,2133,
STANLEY AVENUE,SNEDIKER AVENUE,HINSDALE STREET,2134,
STANLEY AVENUE,108 STREET,SNEDIKER AVENUE,2135,
STANLEY AVENUE,LOUSIANA AVENUE,ANNA COURT,2136,
STATE STREET,BRIDGE STREET,BATTERY PLACE,2137,
STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,2138,
STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,2139,
STEINWAY ST,35 AVE,36 AVE,2140,
STEINWAY STREET,34 AVENUE,35 AVENUE,2141,
STEINWAY STREET,35 AVENUE,36 AVENUE,2142,
STEINWAY STREET,34TH AVENUE,35TH AVENUE,2143,
STEUBEN ST,HYLAN BLVD NORTH,OLGA PLACE,2144,
STEWART AVENUE,METROPOLITAN AVENUE,GRAND STREET,2145,
STILLWELL AVE,BAY 46 ST,BAY 47 ST,2146,
STILLWELL AVENUE,MC DONALD STREET,RHINELANDER AVENUE,2147,
STILLWELL AVENUE,28 AVENUE,AVENUE W,2148,
STILLWELL AVENUE,AVENUE W,28 AVENUE,2149,
STILLWELL AVENUE,PELHAM PARKWAY,RHINELANDER AVENUE,2150,
STILLWELL AVENUE,RHINELANDER AVENUE,PELHAM PARKWAY SOUTH,2151,
STILLWELL AVENUE,AVENUE W,28TH AVENUE,2152,
STILLWELLAVENUE,AVENUE W,28 AVENUE,2153,
STUYVESANT AVENUE,HALSEY STREET,MACON STREET,2154,
STUYVESANT AVENUE,MACON STREET,MAC DONOUGH STREET,2155,
SUNRISE HIGHWAY,DEAD END,HOOK CREEK BOULEVARD,2156,
SURF AVE,JONES WALK,W 10TH ST,2157,
SURF AVENUE,WEST 10 STREET,JONES WALK,2158,
SUTPHIN BOULEVARD,109 AVENUE,FERNDALE AVENUE,2159,
SUTPHIN BOULEVARD,ARLINGTON TERRACE,109 AVENUE,2160,
SUTTER AVENUE,AUTUMN AVENUE,LINCOLN AVENUE,2161,
SUTTER AVENUE,ALABAMA AVENUE,GEORGIA AVENUE,2162,
SUTTER AVENUE,HINSDALE STREET,WILLIAMS AVENUE,2163,
SUTTER AVENUE,HEMLOCK STREET,AUTUMN AVENUE,2164,
TARGEE ST,NAPLES ST,VENICE ST,2165,
TARGEE ST,COLUMBUS AVE,RICHMOND RD,2166,
TARGEE STREET,HAY STREET,NAPLES STREET,2167,
TARGEE STREET,RICHMOND ROAD,COLUMBUS AVENUE,2168,
TERRACE DRIVE,EAST DRIVE,WEST DRIVE,2169,
THROGS NECK EXPRESSWAY,HARDING AVENUE,LONGSTREET AVENUE,2170,
THROGS NECK EXPWY SER RD,HARDING AVENUE,LONGSTREET AVENUE,2171,
THROOP AVENUE,GERRY STREET,BARTLETT STREET,2172,
THROOP AVENUE,HALSEY STREET,MACON STREET,2173,
THROOP AVENUE,BARTLETT STREET,WHIPPLE STREET,2174,
THROOP AVENUE,JEFFERSON AVENUE,HANCOCK STREET,2175,
TINTON AVENUE,EAST 150 STREET,EAST 151 STREET,2176,
TINTON AVENUE,EAST 166 STREET,HOME STREET,2177,
TINTON AVENUE,HOME STREET,EAST 168 STREET,2178,
TINTON AVENUE,EAST 150TH STREET,EAST 151ST STREET,2179,
TINTON AVENUE,HOME STREET,EAST 168TH STREET,2180,
TINTON STREET,HOME STREET,168 STREET,2181,
TODT HILL RD,TILLMAN ST,LINCOLN ST,2182,
TODT HILL ROAD,SUSSEX AVENUE,OCEAN TERRACE,2183,
TOMPKINS AVE,HANCOCK ST,HALSEY ST,2184,
TOMPKINS AVENUE,HALSEY STREET,MACON STREET,2185,
TOMPKINS AVENUE,DEAD END,HANCOCK STREET,2186,
TOMPKINS AVENUE,JEFFERSON AVENUE,HANCOCK STREET,2187,
TRAVIS AVENUE,MULBERRY AVENUE,PARK DRIVE NORTH,2188,
TRAVIS AVENUE,MULBERRY AVENUE,FREEDOM AVENUE,2189,
TRAVIS AVENUE,FREEDOM AVENUE,MULBERRY AVENUE,2190,
TRINITY PL,EDGER ST,RECTOR PL,2191,
UNDERCLIFF AVENUE,SEDGWICK AVENUE,WEST 171 STREET,2192,
UNDERHILL AVE,53 AVE,58 AVE,2193,
UNDERHILL AVE,189TH ST,190TH ST,2194,
UNDERHILL AVENUE,189 STREET,190 STREET,2195,
UNION AVENUE,AINSLIE STREET,DEVOE STREET,2196,
UNION ST,HOYT ST,BOND ST,2197,
UNION ST,7 AVE,8 AVE,2198,
UNION STREET,37 AVE,39 AVE,2199,
UNION STREET,7 AVENUE,8 AVENUE,2200,
UNION STREET,HOYT STREET,BOND STREET,2201,
UNION STREET,39 AVENUE,ROOSEVELT AVENUE,2202,
UNION STREET,39TH AVENUE,ROOSEVELT AVENUE,2203,
UNION TURNPIKE,195 STREET,196 STREET,2204,
UNION TURNPIKE,HEWLETT STREET,LANGDALE STREET,2205,
UNION TURNPIKE,141 STREET,MAIN STREET,2206,
UNION TURNPIKE,VLEIGH PLACE,141 STREET,2207,
