Roadway.Name,From,To,id,ZIP CODE,int1,int2,zip1,zip2
BAYCHESTER AVENUE,GIVAN AVENUE,TILLOTSON AVENUE,569,,BAYCHESTER+AVENUE+%26+GIVAN+AVENUE,BAYCHESTER+AVENUE+%26+TILLOTSON+AVENUE,10469,10475
BAYCHESTER AVENUE,BARTOW AVENUE,HUTCHINSON RIVER PARKWAY,570,,BAYCHESTER+AVENUE+%26+BARTOW+AVENUE,BAYCHESTER+AVENUE+%26+HUTCHINSON+RIVER+PARKWAY,10475,CTYPE
BAYCHESTER AVENUE,TILLOTSON AVENUE,ELEVATED BRIDGE,571,,BAYCHESTER+AVENUE+%26+TILLOTSON+AVENUE,BAYCHESTER+AVENUE+%26+ELEVATED+BRIDGE,10475,CTYPE
BAYCHESTER AVENUE,HUTCHINSON RIVER PARKWAY,BARTOW AVENUE,572,,BAYCHESTER+AVENUE+%26+HUTCHINSON+RIVER+PARKWAY,BAYCHESTER+AVENUE+%26+BARTOW+AVENUE,CTYPE,10475
BAYCHESTER AVENUE,TILOTSON AVENUE,DYRE AVENUE LINE,573,,BAYCHESTER+AVENUE+%26+TILOTSON+AVENUE,BAYCHESTER+AVENUE+%26+DYRE+AVENUE+LINE,CTYPE,CTYPE
BAYCHESTER AVENUE,BAY PLAZA BOULEVARD,HUTCHINSON RIVER PARKWAY,574,,BAYCHESTER+AVENUE+%26+BAY+PLAZA+BOULEVARD,BAYCHESTER+AVENUE+%26+HUTCHINSON+RIVER+PARKWAY,10475,CTYPE
BEACH CHANNEL DRIVE,BIRDSALL AVENUE,NAMEOKE AVENUE,575,,BEACH+CHANNEL+DRIVE+%26+BIRDSALL+AVENUE,BEACH+CHANNEL+DRIVE+%26+NAMEOKE+AVENUE,11691,11691
BEACH ST,UNION PL,VAN DUZER ST,576,,BEACH+ST+%26+UNION+PL,BEACH+ST+%26+VAN+DUZER+ST,10304,10304
BEACH STREET,UNION PLACE,VAN DUZER STREET,577,,BEACH+STREET+%26+UNION+PLACE,BEACH+STREET+%26+VAN+DUZER+STREET,10304,10304
BEDFORD AVE,AVE R,QUENTIN RD,578,,BEDFORD+AVE+%26+AVE+R,BEDFORD+AVE+%26+QUENTIN+RD,11229,11229
BEDFORD AVE,PROSPECT PL,ST MARK'S AVE,579,,BEDFORD+AVE+%26+PROSPECT+PL,BEDFORD+AVE+%26+ST+MARK'S+AVE,11216,11216
BEDFORD AVE,HANCOCK ST,JEFFERSON AVE,580,,BEDFORD+AVE+%26+HANCOCK+ST,BEDFORD+AVE+%26+JEFFERSON+AVE,11216,11216
BEDFORD AVE,METROPOLITAN AVE,NORTH 1ST ST,581,,BEDFORD+AVE+%26+METROPOLITAN+AVE,BEDFORD+AVE+%26+NORTH+1ST+ST,11211,11211
BEDFORD AVE,LORIMER ST,NORTH 12TH ST,582,,BEDFORD+AVE+%26+LORIMER+ST,BEDFORD+AVE+%26+NORTH+12TH+ST,11222,11211
BEDFORD AVENUE,LENOX ROAD,CATON AVENUE,583,,BEDFORD+AVENUE+%26+LENOX+ROAD,BEDFORD+AVENUE+%26+CATON+AVENUE,11226,11226
BEDFORD AVENUE,AVENUE R,AVENUE S,584,,BEDFORD+AVENUE+%26+AVENUE+R,BEDFORD+AVENUE+%26+AVENUE+S,11229,11229
BEDFORD AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,585,,BEDFORD+AVENUE+%26+FARRAGUT+ROAD,BEDFORD+AVENUE+%26+GLENWOOD+ROAD,11210,11210
BEDFORD AVENUE,NORTH 1 STREET,GRAND STREET,586,,BEDFORD+AVENUE+%26+NORTH+1+STREET,BEDFORD+AVENUE+%26+GRAND+STREET,11211,11249
BEDFORD AVENUE,LORIMER STREET,NORTH 12 STREET,587,,BEDFORD+AVENUE+%26+LORIMER+STREET,BEDFORD+AVENUE+%26+NORTH+12+STREET,11222,11211
BEDFORD AVENUE,QUENTIN ROAD,AVENUE R,588,,BEDFORD+AVENUE+%26+QUENTIN+ROAD,BEDFORD+AVENUE+%26+AVENUE+R,11229,11229
